timestamp,tank_liquidlevel,tank_upperbound,tank_lowerbound,flowlevel,sensor2_thresh,bottle_liquidlevel,bottle_upperbound,bottle_lowerbound,motor_status,class,attack_type
30:08.3,1.20625,5.81,0.3,2.450000048,3,0.969965518,0.9,0,0,anomaly,Scaling
30:12.3,1.081481481,5.81,0.3,0,3,0.871545434,0.9,0,1,anomaly,Scaling
30:16.4,1.047453704,5.81,0.3,2.450000048,3,0.706341982,0.9,0,1,anomaly,Scaling
30:20.6,0.877314815,5.81,0.3,2.450000048,3,1.543525815,0.9,0,0,anomaly,Scaling
30:24.8,0.752546296,5.81,0.3,0,3,1.546827316,0.9,0,0,anomaly,Scaling
30:30.2,0.752546296,5.81,0.3,0,3,1.601401567,0.9,0,0,anomaly,Scaling
30:35.2,0.752546296,5.81,0.3,0,3,1.57783401,0.9,0,0,anomaly,Scaling
30:40.2,0.752546296,5.81,0.3,0,3,0.998232067,0.9,0,0,anomaly,Scaling
30:44.8,0.752546296,5.81,0.3,0,3,1.605077863,0.9,0,0,anomaly,Scaling
30:49.7,0.752546296,5.81,0.3,0,3,1.665839195,0.9,0,0,anomaly,Scaling
30:54.8,0.752546296,5.81,0.3,0,3,1.128457904,0.9,0,0,anomaly,Scaling
30:59.5,0.752546296,5.81,0.3,0,3,1.570890188,0.9,0,0,anomaly,Scaling
31:04.0,0.752546296,5.81,0.3,0,3,0.809883118,0.9,0,1,anomaly,Scaling
31:08.2,0.718518519,5.81,0.3,2.450000048,3,1.53656745,0.9,0,0,anomaly,Scaling
31:13.1,0.59375,5.81,0.3,0,3,0.692358315,0.9,0,1,anomaly,Scaling
31:18.5,0.537037037,5.81,0.3,2.450000048,3,1.120387077,0.9,0,0,anomaly,Scaling
31:23.4,0.389583333,5.81,0.3,0,3,1.007563353,0.9,0,0,anomaly,Scaling
31:28.1,0.389583333,5.81,0.3,0,3,0.892435431,0.9,0,1,anomaly,Scaling
31:33.1,0.344212963,5.81,0.3,2.450000048,3,0.914948463,0.9,0,0,anomaly,Scaling
31:37.9,5.8,5.81,0.3,0,3,1.069158316,0.9,0,0,anomaly,Scaling
31:43.3,5.8,5.81,0.3,0,3,0.867109478,0.9,0,1,anomaly,Scaling
31:47.5,5.75462963,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
31:51.6,5.618518519,5.81,0.3,0,3,0,0.9,0,1,normal,nil
31:56.4,5.573148148,5.81,0.3,2.450000048,3,0.226851851,0.9,0,1,normal,nil
32:00.9,5.380324074,5.81,0.3,2.553380013,3,1.270580649,0.9,0,0,anomaly,Scaling
32:05.1,5.23287037,5.81,0.3,0.468352765,3,1.717263937,0.9,0,0,anomaly,Scaling
32:09.4,5.23287037,5.81,0.3,0.661248147,3,1.345455408,0.9,0,0,anomaly,Scaling
32:13.9,5.23287037,5.81,0.3,0.499042064,3,1.365392089,0.9,0,0,anomaly,Scaling
32:18.1,5.23287037,5.81,0.3,0.741762996,3,1.162559032,0.9,0,0,anomaly,Scaling
32:22.5,5.23287037,5.81,0.3,0.093997173,3,1.722887516,0.9,0,0,anomaly,Scaling
32:26.6,5.23287037,5.81,0.3,0.876728058,3,1.239171147,0.9,0,0,anomaly,Scaling
32:31.1,5.23287037,5.81,0.3,0.020098181,3,1.10956645,0.9,0,0,anomaly,Scaling
32:35.4,5.23287037,5.81,0.3,0.039247535,3,1.704030871,0.9,0,0,anomaly,Scaling
32:39.7,5.23287037,5.81,0.3,0.25152725,3,1.23963809,0.9,0,0,anomaly,Scaling
32:44.0,5.23287037,5.81,0.3,0.984910667,3,0.827043533,0.9,0,1,anomaly,Scaling
32:48.2,5.1875,5.81,0.3,2.966727734,3,1.744831681,0.9,0,0,anomaly,Scaling
32:52.6,5.062731481,5.81,0.3,0.671118259,3,0.640478253,0.9,0,1,anomaly,Scaling
32:56.9,5.028703704,5.81,0.3,2.952968359,3,1.068560839,0.9,0,0,anomaly,Scaling
33:01.2,4.892592593,5.81,0.3,0.313672125,3,0.875201344,0.9,0,1,anomaly,Scaling
33:06.1,4.847222222,5.81,0.3,3.232248545,3,1.509460092,0.9,0,0,anomaly,Scaling
33:10.4,4.779166667,5.81,0.3,0.898389816,3,0.720383823,0.9,0,1,anomaly,Scaling
33:15.2,4.733796296,5.81,0.3,3.37236166,3,1.021050811,0.9,0,0,anomaly,Scaling
33:19.3,4.654398148,5.81,0.3,0.119634233,3,1.659592032,0.9,0,0,anomaly,Scaling
33:23.6,4.654398148,5.81,0.3,0.425672889,3,0.82169646,0.9,0,1,anomaly,Scaling
33:27.7,4.609027778,5.81,0.3,2.93363595,3,1.788693786,0.9,0,0,anomaly,Scaling
33:31.9,4.484259259,5.81,0.3,0.387368828,3,0.532404125,0.9,0,1,anomaly,Scaling
33:36.7,4.450231481,5.81,0.3,3.34054637,3,0.73197329,0.9,0,1,anomaly,Scaling
33:41.1,4.348148148,5.81,0.3,2.969513893,3,0.830809891,0.9,0,1,anomaly,Scaling
33:45.8,4.166666667,5.81,0.3,3.355298758,3,1.608147502,0.9,0,0,anomaly,Scaling
33:50.1,4.087268519,5.81,0.3,0.79838711,3,1.676385283,0.9,0,0,anomaly,Scaling
33:54.4,4.087268519,5.81,0.3,0.053480793,3,0.946862817,0.9,0,0,anomaly,Scaling
33:58.8,4.087268519,5.81,0.3,0.685742855,3,1.425440907,0.9,0,0,anomaly,Scaling
34:03.0,4.087268519,5.81,0.3,0.985984325,3,1.530588388,0.9,0,0,anomaly,Scaling
34:07.3,4.087268519,5.81,0.3,0.776135683,3,1.103857636,0.9,0,0,anomaly,Scaling
34:11.7,4.087268519,5.81,0.3,0.780031562,3,1.513173699,0.9,0,0,anomaly,Scaling
34:16.0,4.087268519,5.81,0.3,0,3,0.793981493,0.9,0,1,normal,nil
34:20.2,4.041898148,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
34:24.5,3.91712963,5.81,0.3,0,3,0.022685185,0.9,0,1,normal,nil
34:29.1,3.871759259,5.81,0.3,2.450000048,3,0.249537036,0.9,0,1,normal,nil
34:33.7,3.690277778,5.81,0.3,2.450000048,3,0.544444442,0.9,0,1,normal,nil
34:38.4,3.497453704,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
34:43.2,3.35,5.81,0.3,0,3,0.04537037,0.9,0,1,normal,nil
34:48.2,3.293287037,5.81,0.3,2.450000048,3,0.272222221,0.9,0,1,anomaly,Scaling
34:52.7,3.100462963,5.81,0.3,2.350208998,3,0.657870352,0.9,0,1,anomaly,Scaling
34:57.0,2.918981481,5.81,0.3,2.39120841,3,0.907407403,0.9,0,0,anomaly,Scaling
35:03.5,2.78287037,5.81,0.3,-0.038820006,3,0.068055555,0.9,0,1,anomaly,Scaling
35:07.9,2.703472222,5.81,0.3,1.811197758,3,0.340277791,0.9,0,1,anomaly,Scaling
