motor_status,timestamp,ub_tank,lb_bottle,ub_bottle,flowlevel,ll_tank,ll_bottle,lb_tank,sensor2_thresh,traffic
1,2021-05-03 09:16:57.026422,5.81,0.0,0.9,2.450000047683716,5.0627314814815,0.7486110925674438,0.3,3.0,normal
0,2021-05-03 09:17:00.034868,5.81,0.0,0.9,2.450000047683716,4.92662037037038,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:17:03.480329,5.81,0.0,0.9,0.0,4.83587962962964,0.0,0.3,3.0,normal
1,2021-05-03 09:17:06.740164,5.81,0.0,0.9,2.450000047683716,4.80185185185186,0.1587962955236435,0.3,3.0,normal
1,2021-05-03 09:17:10.313373,5.81,0.0,0.9,2.450000047683716,4.66574074074075,0.40833333134651184,0.3,3.0,normal
1,2021-05-03 09:17:13.924715,5.81,0.0,0.9,2.450000047683716,4.51828703703704,0.7486110925674438,0.3,3.0,normal
0,2021-05-03 09:17:17.683920,5.81,0.0,0.9,2.450000047683716,4.37083333333334,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:17:21.735002,5.81,0.0,0.9,0.0,4.26875,0.022685185074806213,0.3,3.0,normal
1,2021-05-03 09:17:24.990122,5.81,0.0,0.9,2.450000047683716,4.21203703703704,0.1814814805984497,0.3,3.0,normal
1,2021-05-03 09:17:28.105861,5.81,0.0,0.9,2.450000047683716,4.08726851851852,0.4990740716457367,0.3,3.0,normal
1,2021-05-03 09:17:31.353062,5.81,0.0,0.9,2.450000047683716,3.9625,0.7259259223937988,0.3,3.0,normal
0,2021-05-03 09:17:34.521880,5.81,0.0,0.9,2.450000047683716,3.82638888888889,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:17:37.579966,5.81,0.0,0.9,0.0,3.74699074074074,0.0,0.3,3.0,normal
1,2021-05-03 09:17:40.770207,5.81,0.0,0.9,2.450000047683716,3.71296296296296,0.09074074029922485,0.3,3.0,normal
1,2021-05-03 09:17:46.855112,5.81,0.0,0.9,2.450000047683716,3.57685185185185,0.40833333134651184,0.3,3.0,normal
